Activity Code,Activity Name,Description
6619027,Registrar of Private, Joint Stock Companies Includes financial firms engaged in registers the shareholders' ownership of the private shareholding company and documents the transfer of ownership of the shares in the company.
2511001,Reinforcement Steel," Bars Fabrication Includes the process of cutting stainless steel and malleable steel bars in different sizes and forms to produce cylindrical shapes, columns or nets used in reinforcing of buildings, constructions and other ferroconcrete works."
8522004,Religious Studies, School Includes the type of institutions on the intermediate or secondary level where Islamic religious education is more predominant than academic education.
8620032,Renal Dialysis Center, A freestanding centre specialized in treating kidney diseases and provides services of renal dialysis with specialized health professionals. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description
7210005,Renewable Energy," Engineering Consultancy Includes conducting engineering consultancy and services regarding utilizing renewable energy specially winds, tidal waves, solar energy, hydrogen, as a clean alternative to traditional energy, it involves technical and economic feasibility studies, identify alternatives as well as preparing architectural designs and supervise execution, the minimal qualifications required is bachelor degree in renewable energy, electrical or mechanical engineering, along with three years hands-on experience."
8292003,Repackaging &," Refilling Services Includes firms engaged in the repackaging and bottling of bulky solid or liquid products which are elsewhere manufactured, in consumer or commercial packs to make ready for final consumption or export."
910101,Repairing Oil &," Natural Gas Well Equipment Abroad Includes the reparation and maintenance operations carried outside the UAE for the equipment involved in the various operations of oil and natural gas production, from primary stages of survey and exploration up to storage."
7010003,Representative," Office This is an office established in Dubai by any international company or enterprise to represent it in the UAE in order to promote its products and services, boost business, or facilitate commercial agreements between the principal the customers, such office is not allowed to carry out any trading activity nor enter into commercial transactions and deals by itself."
7210001,Research &," Experimental Development on Natural Science Includes firms, centers or institutes specialized in elaborating studies and experimental and development researches on sciences (mathematics, physics, astronomy, chemistry, life, earth sciences etc.), as well as medical, pharmacology, agricultural, engineering and technical sciences, in order to enrich knowledge and innovate new scientific applications thereof, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority"
7220002,Research &," Experimental Development on Social Sciences Includes firms, centers or institutes specialized in elaborating studies and experimental and development researches on social sciences (Economics, psychology, sociology, legal sciences etc.) and human sciences (languages, arts, etc.), so as to enrich knowledge and innovate new scientific applications thereof, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority."
8130004,Residential Property," Care Services Includes firms take care of residential units when owners are in long absence, involving gardening, landscaping, bills payment….etc, guarding and real estate activities contained in class 7010 are excluded."
8620009,Respiratory Clinic, A health facility licensed where there is more than one doctor licensed permanently and specialized in dealing with the diseases involving the respiratory track.
5610001,Restaurant," Includes restaurants equipped with the suitable installations to prepare and serve food and snacks inside, as well as various beverages for immediate consumption by the public."
8211004,Restaurants," Management Includes the provision of advice and assistance as well as overseeing and managing restaurants and coffee shops owned by others and licensed by the competent authorities, as per the prevailing laws and regulations, these firms are not allowed to practice real estate activities under division.70."
6920008,Restructuring of," Financial Regulation & Bankruptcy Services Includes firms specialized in providing services regarding organizing the bankruptcy protection measures and the restructuring and financial regulation of businesses and individuals, including conducting studies of asset re-evaluation, debt restructuring, capital alternatives, increase of internal cash fiows, reducing the operation cost of the institution and directing savings towards increasing of efficiency, the minimal qualifications required is bachelor degree in accounting, finance, along with three years hands-on experience."
8620008,Rheumatology Clinic, Includes clinics where an specialized surgeon is permanently and continuously available for diagnosis and therapy of the rheumatic diseases and disorders as well as the prescription of medicine.
7110706,Road & Traffic," Engineering Services Includes firms specialized in offering engineering services related to roads, traffic and related specializations, involving elaboration of studies, designs, plans and technical specifications for bridges, tunnels, pedestrian accesses and traffic studies and data collection through traffic counting and surveying , the minimal qualifications required is bachelor degree in civil engineering, along with three years hands-on experience."
4210006,Road Marking," Contracting Includes firms engaged in making roads and streets marks such as light refiectors, guiding lines and arrows, lane marking, pedestrian crossings and traffic signs."
7730046,Robots & Smart," Machines Rental Includes the rental of robots that apply artificial intelligence to enable them to think intelligently in the similar manner the intelligent humans think, and which can take the place of humans in dangerous environments, manufacturing, also, smart machines applying the same techniques to conduct any kind of tasks. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
7120024,Roofs & Scaffolding," Support Systems Examination Includes firms that provide inspection services to roofs and scaffolding support system, whether external or internal, including reviewing and approving the designs and drawings of construction according to the uses and purposes to be allocated to them, the role of such firms is limited to carrying out these services and to give certificates or reports."
1079010,Rose Water Bottling, Includes bottling rose water after distilling rose petals and water.
9312028,Rugby Football," Training Includes firms specialized in the instruction of rugby football, whether inside the firm’s own facility or elsewhere, It involves the operation of the equipped sports facilities to allow for exercising such sports."
1512003,"Saddles & Animals,"," Bird Training Requisites Making Includes making saddles, reins and other supplies for horses, camels and other animals, whether for sporting or for any other purpose, beside making veils, stands, straps and gloves for breeding and training falcons and bird, it involves cutting wood and raw leather, then sew and embroider to make different related items."
3290101,Safety Harness," Fabrication Includes fabricating harness from ropes, webbing and locking hardware in order to use in protecting persons or animals or objects from injury or damage when ascending or descending above or the underground."
1079008,Salt Packaging," Includes packaging salt in consumer packs and set for final consumption, it can be granulated, in cubes, or powdered, it should not involve any form of processing prior to packaging."
5222004,Salvaging Distressed," Vessels Includes the firms specialized in salvaging ships and recovering cargo after stranding or sinking by refioating and towing, whether the wreck occurred offshore or in the internal waters, the aim of the salvage may be to repair the vessel at a harbor or dry dock, or to clear a channel for navigation, or to recover a valuable cargo of the ship, or to prevent hazardous cargo damage the marine environment."
4312005,Sand Compacting &," Controlling Works Includes firms specialized in sand compacting in order to prevent collapses during construction works or civil projects. It also includes soil stabilization to prevent drifting on highways, or in agricultural projects executed in deserts.."
2399004,Sand Washing," Includes sand washing and processing to use in constructions, provided that such operations are carried out in places away from extraction sites. Then transportation to washing plants, and then to construction sites, such operations must not be executed separately for a wage or under a sub- contract."
5621008,Sandwich Shop," Includes shops that provide sandwiches, juices and beverages for immediate consumption"
4329906,Sanitary Installation, & Pipes Repairing Includes repairing sanitary installations and water pipes in the kitchen and the rest of the house.
3700003,Sanitary Sewer," Networks Maintenance Includes cleaning and maintaining sewer networks which transport human or industrial wastewater to treatment stations to avoid blockages caused by grease buildup or other foreign objects, it involves line cleanouts by water and air pumping and chemicals and solvents."
6120004,Satellite," Communication Services Includes firms providing satellite telephone services via their own satellites and ground stations. The volume of services must cover a vast region of the globe. The system involves a capacity of integrating different satellite systems. The services provided are voice data, facsimile, messaging and GPS location."
4321010,Satellite Receiving," Equipment Installation & Maintenance Includes installing and fixing apparatus for radio- broadcasting and television transmission, functioning testing, as well as maintenance and reparation services."
1610008,Sawmilling &," Planning of Wood Includes workshops engaged in the sawmilling, cutting and latching of wood in order to produce boards, plywood and hardwood."
3311009,Scaffolding &," Formwork Repairing Includes using different techniques to repair and maintain scaffolding, used to support people and materials in the constructions or repair of buildings, also, the formwork for pouring concrete in construction."
4390008,Scaffolding," Contracting Includes temporary frames of metal pipes or other materials, used to support people and materials in the constructions or repair of buildings, including, all inshore, offshore and oilfields constructions and structures."
7730011,Scaffolds Rental," Includes renting temporary frames of metal pipes or other materials, used to support people and materials in the constructions or repair of buildings."
3312006,"Scales, Dry Measures"," Repair & Maintenance Includes repairing and maintaining electric and sensitive scales, dry measures and balance equipment used for weighing. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
7210013,Science &," Technology Consultancy Includes offering counseling and drawing plans on science and technology as regarding water desalination techniques, nanotechnology, health, power technology, also, studying and analyzing the reports submitted by laboratories and other analysis entities in respond to requests by governmental and private bodies, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority."
7010015,Scientific Office," This is a scientific office established by a local pharmaceutical company to promote its products, as well as conducting advertising and facilitating contacts and deals with the local customers, such office is not allowed to engage in importing, trading, storing or distributing such products in UAE."
3811006,Sea & Shore Cleaning," Services Includes firms which undertake collection and disposing of or treating of marine wastes and pollutants which pollute beaches, sea natural , artificial lakes and marine lives."
321002,Sea Based," Aquaculture Includes farms specialized in the cultivation of fish, crustaceans, molluscs , algae and other aquatic animals and plants on costal area or offshore for commercial purposes. It also includes the facilities specialized in the propagation of aquatic organisms."
8521001,Secondary School," Includes of the type of education that lays the foundation for lifelong learning and human development, it provide programs that are usually on a more subject-oriented pattern using more specialized teachers, they are designated to qualify students for entrance to higher education."
7310025,Securities & Financial," Products Promotion Includes firms conducting marketing, distributing, advertising, publishing any kind of data or information or brochures related to financial products, these products involve securities, commodities contracts, derivatives and structured product."
8020002,Security Control," Services Includes receiving and monitoring alarm of robbery and offensive breaking in, or medical emergency, and to provide the subscribers with the required help or notify the concerned authority, also, providing subscribers’ locations with camera surveillance to ensure that they are safe and secure, monitoring insured vehicles by tracking systems and to notify the concerned authorities if help is needed."
8010012,Security Dogs," Training Includes training dogs to suit various security requirements, involving guarding, weapons and explosives detection, drugs detection, footprints tracing."
4321009,Security Equipment," Installation & Maintenance Includes installing security systems and equipment, such as security doors, metal detectors, thermal binoculars, and police specialized equipment, also, surveillance equipment such as observation cameras, anti-burglar, motion detectors, intercoms, alarms, access control, barrier gates, it involves repairing and maintaining such equipment."
7730040,Security Equipment," Rental Includes firms engaged in renting of security-related and monitoring equipment, such as, screening equipment, observation cameras, anti-burglar alarms, motion detectors, intercoms, alarms, access control, barrier gates, safes and security vaults."
7120006,Security Systems," Audit Includes firms engaged in carrying out inspecting security systems to ensure safety, workability and consistency with standard specifications, then to provide technical reports and certificates accordingly."
8549044,Security Training," Includes organizing seminars, conventions, conferences and meetings and workshops for security personnel."
4290903,Service Lines Coring, & Ditching Contracting Includes excavation works either traditionally or mechanically to lay out the lines of public services such as electric and communications lines and water and drainage pipes.
7710014,Sewage & Drainage," Vehicles Rental Includes firms engaged in renting to others, without drivers, sewage vehicles to use in collecting sewer water and sinks, stagnant water, rain water and contaminated water, it involves collecting and transporting to treatment or disposal sites."
3700002,Sewage & Draining," Services Includes firms which undertake sucking up and draining the sewage, rain, waste excessive waters by the tank vehicles, and transporting these waters to places where they can be used, refined or disposed of."
7730016,Ship Charter," Includes firms specialized in renting and operational leasing of water-transport boats and for passenger transport or cargo, whether owned by the company or being rechartered. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
7110911,Ship Engineering," Services Includes preparing building designs and drawings, for ships, boats and similar transport means. It involves laying out detailed specifications of the materials required and providing the equipment and engines as per each type and its area of utilization, the minimal qualifications required is bachelor degree in mechanical engineering, along with three years hands-on experience"
5222005,Ship Management &," Operation Includes firms specialized in managing operating ships and vessels and other sea means of transport for the account of other parties. This involves executing other operations necessary for handling passengers and cargo transport, changing ships crew and navigators."
5222002,Ship Piloting &," Towing Services Includes providing marine pilots or ship handlers who possess detailed knowledge of local waterways to bring vessels into and out of the port safely, involving also tugboats services for pushing or towing vessels that either should not move themselves, or those that cannot move by themselves in crowded harbor such as barges, disabled ships, oil platforms."
5229007,Ship Rental, Intermediator Includes ship chartering intermediary between the firms involved in renting in one hand and ship owners and travel agents on the other. The role of the mediator must confine to intermediary against remuneration.
3315101,Ships & Boats," Maintenance Services Includes firms that carry out ships and boats maintenanceas regarding re-painting and cleaning, as well as other simple operations which do not include reparations or total maintenance, which are classified under Class 3512."
3315001,Ships & Boats Repair," Includes the reparation of vessels, wooden ships, yachts, sports boats, fishing ships and boats…etc. also, re-building, renovation, full maintenance, including refitting or replacement of motors and parts."
5630101,Shisha Services, Includes serving shish in cafes or in other places as per the approval of the competent authorities.
1520006,Shoe Making, Includes small workshops that manufacture various types of shoes by cutting and fitting to design and produce special types as per customer requirements.
9609011,Shoe Polishing, Includes firms engaged in shoe polishing.
9523001,Shoe Repair," Includes manual and mechanical repairing of different gents, ladies and children footwear."
3319910,Shooting Arenas," Equipment Repairing & Maintenance Includes repairing and maintaining shooting ranges equipment such as air-conditioning and ventilation systems, sound abatements, static and moving targets, scoring systems, control towers..etc."
4290912,Shooting Ranges," Works & Maintenance Includes firms specialized in constructing indoor and outdoor shooting ranges, whether for military or civil use, including installing A/C and ventilation systems, sound abatements, static and moving targets, scoring systems, control towers..etc."
9312026,Shooting Training," Includes firms specialized in the instruction of shooting using various types of ranged weapons, whether inside the firm’s own facility or elsewhere, It involves the operation of the equipped sports facilities to allow for exercising such sports"
7730101,Shopping carts," Rental & Retrieval services Includes firms rent shopping carts to shopping centers and retail stores and airports and others on permanent or seasonal bases, also providing retrieving and returning carts abandoned off the premises at the parking lots and adjacent walkways."
6130001,Short Messages," Services Includes firms engaged in text messaging on behalf others who want to use as a promotive tool for their services and offers, or to utilize as a formative for furnishing their subscriber base with news, weather forecast, stock exchange, entertainment events, medical instructions…etc."
4789006,Short Term Retail," Operator Includes firms offering retail windows in retail outlets for sellers for short terms, the operator should obtain the required permits, as well as being responsible for compliance of sellers with the prevailing laws and regulations in Dubai."
2420004,Silver Recovery From," Wastes Includes extracting silver from photographic films wastes, radiograph films, films processing chemicals or any other chemicals composing silver , then form in pieces or ingots for manufacturing dyes and paints."
9529020,Silversmith," Includes making of silversmiths’ articles, such as brooches, earnings, necklaces, bracelets, rings from silver."
9321001,Ski Dome," Includes a winter sports complex in a dome like structure to house an artificial snow - making system , it contains slopes, ski areas, children winter village, as well as skiing requisites rental. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
7730032,Sleeping Cabins," Rental Includes furnishing pods with beds to sleep or rest and offer for short-term rental in places where people need to wait for a little longer, as airports’ transfer areas or in shopping mall."
8690043,Slimming Massage, Center A facility specialized in massage using equipment for treating excess fat and shaping and trimming the body through non-surgical methods and without a need for specialized doctor.
5223009,Slot Coordination," Services Includes firms engaged in coordinating airport slot as a mean for managing air traffic capacity through the implementation of the set of regulations and directives as they appear in the Worldwide Slot Guidelines (WSG), the allocation of slots is planned subject to the requests submitted by airlines and determined by the airport.’"
8690024,Smoking Cessation," Center Includes healthcare centers specialized in helping smokers to discontinue the practice of tobacco smoking, whether through the method of medications depending on nicotine replacement therapy by using nicotine patches and electronic cigarettes , also, the method of counseling, health awareness programs."
9609019,Soap Making &, Forming Includes producing soap from natural and chemical substances at lesser level than industrial level.
8890003,Social & Family," Consultancy includes firms specialized in offering a variety of social and family guidance services to families as regarding the area of social growth, assisting families in solving their problems, organizing workshops for dealing with family guidance and how to address children and adolescents problems.."
6201009,Social Media," Applications Development & Management Includes firms specialized in helping businesses and others to utilize such social media like Facebook, twitter, you tube, LinkedIn, Instagram to increase visibility and expand the number of regular visitors, which will boost customer base and consequently result in the grow of their businesses and services steadily over time, it involves providing contents as well as managing such channels."
7120001,Soil Analysis Services," Includes firms specialized in conducting site soil examination and testing in terms of engineering, geological, hydraulic and geophysical aspects and working out the studies necessary for determining soil features, nature and suitability for construction or agricultural projects. These services also include collecting soil samples for analysis at specialized laboratories to determine chemical and physical composition thereof."
4322011,Solar Energy Systems," Installation Includes firms engaged in installing and maintaining solar panels and slabs energy systems (photovoltaic) on tops and facades of residential and commercial buildings, or on the ground to generate power from solar energy."
7730041,Solar Energy Systems," Rental Includes renting and leasing solar panels and slabs energy systems (photovoltaic) installed on tops and facades of residential and commercial buildings, or on the ground to generate power for use in water heating and cooling and energy supply, it involves the batteries and devices to store the generated energy."
7020023,Sourcing &," Procurement Consultant Includes firms engaged in sourcing and procurement consultancies, including purchase analysis to determine where to achieve savings, point out the system defects to overcome, so as to minimize the cost, determine the purchases specifications and tender procedures, advise on purchasing sources by rendering to the best standards as might involve E- commerce, also, advising on compliance to contracts and purchasing policies and procedures, how to impose strategic plans for purchasing policies and compliance with signed contracts as well as anti- fraud polices in this regard, the minimal qualifications required is bachelor degree in business administration, economics, accounting, finance, along with three years hands-on experience."
7020019,Spa & Fitness Clubs," Consultant Includes firms engaged in technical studying and consulting over investing in spa and fitness clubs, as regarding location and architectural design, technical and economic feasibility, operational and administrative analysis, and marketing and promotional plans."
5229021,Space Logistics," Services Includes providing space logistics and transportation services both on the surface of the earth, such as transporting spacecraft or in outer space, such as other auxiliary activities such as planning, design and support operations for space stations, including assembly and disposal of space debris."
6190006,Space Situational," Tracking, Monitoring & Awareness Services Includes the provision of services aimed at identifying the situation, the current situation and the surrounding conditions in space, including monitoring and tracking space objects, whether through the earth station or by analyzing data from other sources."
8549068,Space Training, Services Includes the provision of specialized training programs related to space fields. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description
5911007,Special Effects," Production Includes TV studios, equipped for TV and movie filming and for taking shots of special effects, artifices and tricks, through filming the same and tracking them on the tape previously filmed in open scenes or indoors or through using the computer, cartoons etc. for producing these artifices and tricks."
8730002,Special Need Center," A Community-based non-residential facility specializing in providing services that are designed to meet the needs of functionally and/or cognitively impaired children. Special need center facilities provide a caring, non-institutional setting for individuals who, for their own safety and well-being, can no longer be left at home alone. These facilities often provide protected settings and include a mixture of health and support services. Many offer specialized services such as programs for individuals with developmental disabilities, vision and hearing impairments."
9609101,Special purpose Firm, This is a firm established to practice specific business as per the prevailing regulations.
4321012,Specialized Piping &," Related Fittings Contracting. Includes executing various specialized piping, including medical gases in hospitals, fuel gases in facilities and factories, computer and optical fibers lines and waste chutes, also, fitting fixtures and operation control."
8530002,Specialized," Professional Institute Includes Institutes and high colleges which offer specialized teaching and training at a level above the high school and under the University level, and award the appropriate degrees and certificates. Teaching includes fine arts (painting, sculpture, photography, decoration .. etc.) or profession related to tourism, hotel industry, It also includes cinematic, theatrical, musical institutes.. etc."
7710007,Specialized Vehicles," Rental Includes firms engaged in renting, without drivers, the specialized motor vehicles including ambulances, fire engines, garbage collectors , street sweepers, truck- mounted cranes for loading and discharging and truck mixers it also includes food trucks and mobile salons and tailoring trucks."
8610008,Specialty Hospital," Is a healthcare facility allocated to a particular specialty, where diagnosis, medical care, treatment, obstetrical care, nursing care or related services are provided on outpatient or on inpatient basis to persons who have an illness, injury or deformity related to that specialization ."
9529006,Spectacles Repair," Includes repairing ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles"
8890008,Speech & Language, Disorders Center Includes the centers engaged in providing training in language and speech and hearing enhancing for the children who suffer language and speech impediments.
1079009,Spices Packaging," Includes re-packaging dried and powdered spices, whether, pure or blended in well sealed consumer bags or packs and make ready for final consumption. This activity does not cover firms that are usually classified under No 5211-05."
7990001,Sport & Recreational," Events Tickets Selling Includes firms engaged in selling the tickets of sport and recreational events on behalf of their organizers, whether the sale made in the place of the event or in any other place, as well as online, it involves providing the equipment to organize audience entry and computing."
8541006,Sport Academy," Includes sports institutions engaged in enhancing sporting performance and qualify sportsmen for regional and international sport excellence, through applying education on the latest advances in sports science, also, is to set up world class sports facilities involving courts and tracks, gyms, swimming pools, sport labs, coach training, lecture theater, organizing sports activities."
9311001,Sport Clubs &," Facilities Management Includes providing management services to sporting and entertaining facilities ancillary to sport and recreation entities such as football, equestrian, golf and water sports clubs. It involves carrying out all the tasks concerning running these entities, preparing and renting facilities, organizing activities, promoting products... etc."
4290910,Sport Fields & Halls," Contracting Includes civil engineering works (except constructions) to install indoor and outdoor sport courts, fields, tracks and arenas. Works include fiooring, walling, fencing, grandstand fixing and dismantling, as well as supply equipment made to international standards to enhance sport exercising and competitions."
7020017,Sport Research &," Consultancies Includes the provision of advice and assistance to sport clubs and organizations on organizational and development issues, such as strategic planning, financial planning and budgeting, marketing and advertising objectives and policies, sport psychology, human resources policies. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
8541102,Sport Training," Includes firms engaged enhancing sportsmen physical conditions, as well as raising the level of physical fitness as regarding speed, fiexibility and endurance, as being the basic elements for practicing sport activities, such as football etc"
9311012,Sports & Amusement," Tracks Includes firms which offer and rent sport indoor and outdoor facilities and courts with a view for entertaining, including pitches and courts for football, basketball, volleyball, tennis, badminton, squash, swimming and diving pools, running tracks, rock climbing, cycling races, shooting, aiming arrows ….etc."
9312001,Sports & Recreational," Club Includes clubs which have facilities to practice a number of sports and entertainment activities such as rowing, sailing, driving powerboats, ground tennis, driving sport cars, polo, swimming etc. These facilities are restricted to members against periodical subscriptions or fixed fees."
9319004,Sports Broker," This covers facilities approved by official and international authorities as a broker for football players and clubs aiming to provide best offers and deals negotiate and sign transfer or secondment contracts with clubs. This also covers fostering interests of players and representing them before sports, local and international bodies."
8010017,Sports Clubs Security, Guard Services Includes providing guarding services to sport facilities and events.
7310023,Sports Events," Marketing Includes firms engaged in marketing and promoting championships and festivals on behalf of the sport and cultural authorities and clubs, as well as finding official sponsors for such events, including the follow-up all the contracting subsequent formalities."
8230008,Sports Exhibitions," Organizing Includes firms specialized in organizing sport exhibitions for official departments and sport clubs in order to promote sport activities and facilities, as well as for commercial entities engaged in sport products and services."
8620040,Sports Medicine," Center Clinic Includes clinics where a specialized doctor in Sports medicine is permanently and continuously available to treat and prevent injuries related to sports and exercise such as muscle, ligament, tendon and bone problems."
9311006,Sports Services," Includes the provision of a range of specialized services to sports teams or clubs, such as, conducting contacts to secure contracts with coaches, arrange for Inside and outside pre-season team camps, making contacts with international sport clubs to participate in local sport events, operating indoor or outdoor sport arenas."
9312027,Squash Training," Includes firms specialized in the instruction of squash, whether inside the firm’s own facility or elsewhere, it involves the operation of courts to allow for exercising such sport."
2310008,Stained Glass," Forming Includes manufacturing glass sheets by cutting stained glass to small pieces, fit them tightly together, by lead or any other mastic material, to form pictorial or decorative designs and then fix these sheets on frames made of wood, aluminum profile or any other metal profiles or lixon, this activity also includes any other industry related to stained glass forming."
3290006,Stamps & Seals," Making Includes making rubber, wood, steel stamps which are used primarily to authenticate documents and products"
4789001,Stationery Kiosk," Includes shops engaged in selling stationery, such as writing paper, notebooks, record books, writing and drawing instruments, rulers, sharpeners, paper perforators, paper clipping requisites, stamps, typewriters ribbons."
7320003,Statistical Services," Consultancies Includes firms engaged in conducting statistics consultancies and services in economic, social and other domains, it involves data collection whether through questionnaires or from administrative records and then draw indicators which can assist decision makers to know how to find alternatives in order to evaluate the status quo as well as to plan for the future, the minimal qualifications required is bachelor degree in statistics, along with three years hands-on experience."
2410902,Steel & Alloy," Products Cutting Includes cutting carbon steel and alloy products to produce steel plates, structural beams, columns, angles, seamless and welded pipes."
2592005,Steel Fabrication &," Welding Workshop Includes the workshops involved in the fabrication of a variety of metal products by cutting, bending, and assembling processes, including metal frameworks or skeletons for construction, industrial frameworks in metal…etc This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
4330011,Steel Products," Installation & Maintenance Includes installing and maintaining steel doors, windows, advertising signboards frames, balconies, staircases, fences, window grids and garden fences."
2021101,Sterilizers &," Disinfectants Preparation Includes preparing of disinfectants and sterilizers made of chemicals, either in a gaseous or liquid form and used to eliminate microorganisms from hands, surfaces, fioors, and clothes, this activity involves the firms that use substances and tools as well as a volume of output that do not amount to manufacturing process."
9609022,Stray Animals," Confiscation Services Includes taking pets and animals strayed from or are allowed freedom by their owners, as per international and local regulations, in order to control the diseases that may be caused by these animals and maintain the health and safety of community members."
8129009,Street Cleaning," Services Provision of general cleaning services for all streets, footpath and markets by manual or mechanical means."
7110907,Structural Quantity," Surveying Engineering Services Includes firms which undertake surveying structural quantities in terms of sizes and prices, upon the basis of designs and structural specifications set for the construction of projects, the minimal qualifications required is bachelor degree in civil or Architectural engineering, along with three years hands-on experience."
2592003,Structural Steel," Coating & Treatment Includes firms which carry out coating of structural steel used in the support of concrete buildings with anti-erosion and rust-proof materials as protective means against effects of salts, humidity, chemical pollutants and others. This also includes pre-coating treatment of any holes or cracks in steel rods, or cutting and plying of rods according to the required specifications in order to form grids or support column molds, or to install the steel structures on site."
1072003,Sugar Packaging," Includes packaging refined sugar in consumer packs and set for final consumption, it can be granulated, in cubes, or powdered, it should not involve any form of processing prior to packaging."
7490001,Surveying &," Evaluating Services Includes firms specialized in examining, and estimating movables such as goods, machines, equipment and furniture, for various purposes, for holding public auctions, upon disputant parties' request or as an assignment by the court, arbitration committee or any other body, also, checking motor vehicles to determine the technical defects or value and not renewing registration by licensing authorities."
7110111,Surveying Planning &," Photogrammetry Services Includes firms engaged in aerial photography and space images and related services, digital photogrammetric mapping such as base, topographic, thematic mapping as well as land use, cover characterization and classification, the minimal qualifications required is bachelor degree in civil or Architectural engineering, along with three years hands-on experience."
6621001,Surveyors & Loss, Adjusters Includes firms involved in the settlement of insurance claims by surveying and inspecting the damages incurred by the insured. This also includes loss adjustment and assessment of the due compensations.
5630007,Sweets & Candies," Preparing Includes shops engaged in preparing and selling oriental and European sweets, tea, soft drinks, cakes and candies directly to the public for immediate consumption."
4390011,Swimming Pools," Installation Includes installing pools made from concrete, metal, plastic and fiberglass, and is intended for swimming or water based recreations or lifeguard training, including Olympic-size pools, and pools in public and private places, hotels, sport and health clubs, also, water pipes, pumps and drainers, electric fittings, light fixtures, painting, insulation and coating materials... etc."
4329915,Swimming Pools," Maintenance Includes periodical or general maintenance and repair of swimming pools and water treatment by using special cleaning sterilizing products and equipment to ensure high purity, also, general maintenance and repair of water pipes, pumps and drainers, electric fittings, light fixtures, painting, installing insulation and coating materials... etc."
9312023,Swimming Training," Services Includes sports institutions dedicated to swimming training through applying the latest theoretical and practical techniques to optimizing sporting performance and qualify sportsmen for regional and international sport excellence, the process involves emphasizing the physical, skills improving, knowledge and psychological aspects, these firms should set up the facilities that enable conducting the training."
5911002,"T.V Programs,"," Commercials & Visual Materials Production Includes firms that produce television programs and visual materials, such as drama, comedy, music, sports, documentaries, news magazines, commercials, animations, on film, videotape or disc for direct projection on different media, or for video recordings stores This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Professional License Activities Activity Code Activity Name Description"
5912003,TV Studio," Includes installations equipped with technical requirements and decorations in live television productions take place, or for the acquisition of raw footage for post- production."
7820002,Tadbeer Center for," Domestic Workers Services Includes Tadbeer centers engaged in supplying domestic workers to households, and assuming necessary procedures for bringing them, also, supplying workers to take care of or serving the guests in the personal and corporate events such as weddings, birthdays, mourning gatherings, also involving the provision temporary workers to work within the employer's household, and who perform as cooks, gardeners, housekeepers, laundress, children care."
9609003,Tan Center," Includes firms engaged in darkening or tanning the color of skin by artificial tanning methods such as tanning beds which emits ultraviolet radiation to produce a cosmetic tan, including also using chemical products which can produce a tanning."
8121002,Tanks & Containers," Cleaning Services Includes firms engaged in cleaning of tanks for storage of oil or natural liquefied gases or water, tankers and tanker vehicles, also, metal and plastic containers for garbage and waste collection as well as the reusable packaging crates used to ship to retail stores"
6399004,Taqyeem (Evaluation)," Service Center Includes centers engaged in providing, through evaluators, information to MOHRE about the public sector facilities, which are registered in the Ministry’s system, the owners of such centers are obliged to sign undertaking to acknowledge compliance with the conditions governing the practice of the activity."
