DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
Aviation,6303-99,Aviation Services Coordination ,تنسيق خدمات الطيران,Service,"""Activity permits a legal and/or natural person to coordinate any of the following activities between different entities or parties relating to the aviation sector. The activities, inter alia, are:- Flight planning Fuel services Airport ground operation services Flight permission services Passenger services facilitation """,No,Any Type,No Restriction,,"50,000 AED per company",Dubai Civil Aviation Authority,
Hospitality,6304-02,Travel Agent,وكيل سفر وسياحة,Service,"Includes selling air tickets to individuals on behalf of the authorized agents. The role of these offices is restricted to seats reservation, issuing tickets in co-ordination with the agent as well as carry out hotel booking, car rental related services.",No,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Civil Aviation Authority,
Shipping & Logistics,6304-03,Shipping Lines Agents,وكيل خطوط ملاحية,Service,"Includes agents of maritime navigation lines authorized to reserve places and sell tickets to passengers. It also includes travel offices involved in the same activity as intermediaries. This activity also includes the provision of communication services needed for airline, other travel means or hotel bookings as well as car-rental reservations.",No,Any Type,No Restriction,,"50,000 AED per company",,
Support Services,6304-04,Government Tourist Liaison Office,مكتب ارتباط سياحي حكومي,Service,"This is an office established in DMCC Free Zone by an entity subsidiary to a foreign government to work as a representative and tourism promoter. This office is neither allowed to involve in direct transactions, nor to conclude contracts or agreements by itself.",Yes,Any Type,Branch companies only,,No Share Capital,,
Hospitality,6304-06,Hajj & Umra Organizing,تنظيم رحلات الحج والعمرة,Service,"Includes offices which organize hajj (pilgrimage) and umra to the holy places, carry out the necessary procedures and contacts needed for travel and hotel, and accommodation bookings and facilitate pilgrims' transportation during their stay.",No,Physical Office space,No Restriction,,"50,000 AED per company",General Authority of Islamic Affairs and Endowments,
Support Services,6304-07,International Airline Representative Office,مكتب خطوط طيران دولية,Service,"Includes offices opened and managed by international airline companies which have regular flights. Such offices promote the company's activities and make reservations, as well as other related activities.",Yes,Any Type,Branch companies only,,No Share Capital,,
Hospitality,6304-08,Tourist Guiding Services,خدمات الأرشاد السياحي,Service,"Includes firms providing tourist guiding services by arranging guided visits to tourist destinations in Dubai or all over U.A.E., or to supply other tourist firms with tour guides on demand. These guides are licensed by the Department of Tourism and Commerce Marketing provided that they hold the right tourist qualifications.",No,Physical Office space,No Restriction,,"50,000 AED per company",,
Aviation,6304-10,Air Cargo Agent,وكيل خطوط شحن جوي,Service,"Includes agents of international airlines who are engaged in air cargo operations. They are authorized to reserve spaces for imported, exported or re-exported goods.",No,Physical Office space,No Restriction,,"50,000 AED per company",Dubai Civil Aviation Authority,
Hospitality,6304-11,Out Bound Tour Operator,منظم رحلات سياحية خارجية,Service,Includes firms that organize and sell tourist programs abroad via travels and tourism agents.,No,Physical Office space,No Restriction,,"50,000 AED per company",,
Hospitality,6304-12,In Bound Tour Operator,منظم رحلات سياحية داخلية,Service,"Includes firms that organize local incentive tours or tours for foreigners to attend conferences and events, it involves handling visas, transport and residence.",No,Physical Office space,No Restriction,,"50,000 AED per company",,
Hospitality,6304-13,Educational & Recreational Tours Organizing,تنظيم الرحلات التربوية والترفيهية,Service,"Includes organizing internal and external tours for students to enhance their skills and motivate competition among them through conducting games and competitions and quizzes, the objective is also, to learn how positively with oneself and with the others, to develop the skills of thinking and mental capabilities.",No,Physical Office space,No Restriction,,"50,000 AED per company",,
Shipping & Logistics,6309-01,Freight Broker,وسيط شحن,Service,"Includes firms that serve as a liaison between individuals or companies that need air, sea and land transport services and the respective freight forwarders.",No,Any Type,No Restriction,,"50,000 AED per company",,
Shipping & Logistics,6412-01,Home Delivery,خدمات توصيل الطلبات,Service,"Includes delivering consumer goods and other items of the general stores and cooperatives to homes, offices, factories, airports and airplanes and others",No,Physical Office space,No Restriction,,"50,000 AED per company",,
Financials,6519-01,Commercial Bank,مصرف تجاري,Service,"Includes firms which regularly receive money from the public in the form of call, notice or time deposits, or invest loan instruments or deposit certificates to use them partially or fully in the granting of loans and advances for their account and on their own responsibility. This also includes firms which issue and receive cheques, introduce public and private loans, trade in foreign currencies or precious metals, open documentary credits, exchange travel cheques , and carry out other banking operations provided for by the Commercial Law or have been established as operations pertaining to commercial banks.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,Dubai Police - Department of Protective Systems
Financials,6519-02,Credit & Finance Bank,مصرف ائتمان وتمويل,Service,"Includes firms mainly involved in lending or granting individual or commercial loans, as well as financing and participating in existing or under-establishment projects, or investing their money in movable assets, such as goods or any means determined by the Central Bank. The activities of such firms do not include the receipt of money in the form of deposits. However, they are permitted to borrow from their main office, other local or foreign banks, or from stock markets.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,Dubai Police - Department of Protective Systems
Financials,6519-03,Investment Bank,مصرف استثماري,Service,"Includes firms called business or investment banks. They deal in medium, long and other terms investments. They are also specialized in investment operations and the acceptance of deposits upon specific conditions (deposits are not accepted for less than two years). Such firms do not carry out ordinary banking operations carried out by other banks, except in conformity with the conditions set forth by the Central Bank.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,Dubai Police - Department of Protective Systems
Financials,6519-06,Saving Bank,مصرف ادخاري,Service,Includes firms whose main activities are based on the acceptance of individual and corporate savings and the execution of certain investment operations for the development of savings.,Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,Dubai Police - Department of Protective Systems
Financials,6519-09,E-Banking,الخدمات المصرفية الإلكترونية,Service,"Includes banks engaged in delivery of banking products through electronic channels, this involves automated cash withdrawal and cash and cheques deposits, collection of account statements, obtain and transfer of customers instructions and feedbacks to the bank, the e- bank is not allowed to conduct directly any banking transaction.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,
Financials,6519-10,E-Finance,تمويل المتاجرة الإلكترونية,Service,"Includes financial and monetary firms engaged in providing direct financial facilities (live) to finance commercial deals made by other firms on the internet, either for themselves or for other parties. These firms could have a actual existence or could hypothetically exist, depending on their legal status.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,
Financials,6519-12,Islamic Bank,مصرف إسلامي,Service,"Includes financial institutions perform a form of modern banking based on the principles of sharia law, the underlying concept in this regard is designing investment operations contrary the interest-based commercial banking system, the approaches applied are Mudarabah (profit sharing), Ijarah (lease), Bai Salam (advance purchase), Istisna (manufacturing finance), Mudarabah (profit sharing), Musharakah (joint venture), Qard hassan (good loan), it involves conducting conventional banking against charges such as opening accounts, accepting deposits, opening letter of credits, issuing letters of guarantee",Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,Dubai Police - Department of Protective Systems
Financials,6592-01,Financing Operations,اجراء عمليات التمويل,Service,"This includes non-banking firms working in the field of loans and lending, whether by lending funds to companies in order to finance their sales, or lending individual consumers for individual financing.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Central Bank,
Financials,6592-04,Remittance of Local & Foreign Currencies,تنفيذ عمليات التحويل بالعملة المحلية والعملات الاجنبية,Service,"Includes firms engaged in transferring and receiving money locally and internationally, in local o foreign currency, remittance methods involve, cash or bank notes, bank account, money orders, credit cards.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,Dubai Police - Department of Protective Systems
Financials,6599-01,Investment in Commercial Enterprises & Management,الاستثمار في المشروعات التجارية وتأسيسها وادارتها,Service,"Includes firms and holding companies formed in order to invest their funds through the establishment of subsidiary firms which carry out various commercial activities, as well as transport, contracting and financing activities, besides other investments or shareholdings in commercial enterprises. This also includes the management of such subsidiary companies and the organization of their affairs.",Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
Financials,6599-02,Investment in Industrial Enterprises & Management,الاستثمار في المشروعات الصناعية وتأسيسها وادارتها,Service,"Includes firms and holding companies formed in order to invest their funds through the establishment of subsidiary firms which carry out various industrial, extraction or converting activities, or by the investment of their funds through the shareholding in such projects. This also includes the management of such subsidiary companies and the organization of their affairs.",Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
Financials,6599-03,Investment in Agricultural Enterprises & Management,الاستثمار في المشروعات الزراعية وتأسيسها وادارتها,Service,"Includes firms and holding companies formed in order to invest their funds or create the necessary investments for the establishment of subsidiary projects, which carry out agricultural activities and other subsidiary activities, such as land reclamation, establishment of agricultural projects, cattle, sheep and chicken farms, as well as the marketing of agricultural crops and investment in fish and sea animal resources. This also includes the management of such subsidiary companies and the organization of their affairs.",Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
Financials,6599-06,Investment in Oil & Natural Gas Projects,الاستثمار في مشروعات النفط والغاز الطبيعي,Service,"Includes holding companies formed in order to invest their funds through establishing subsidiaries to carry out investment in oil and natural gas projects, it involves exercising operational control and managing the operations of their related units.",Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
Real Estate & Facility Services,6599-08,Real Estate Development,التطوير العقاري,Service,"Includes holding companies formed with a prime role of creating and developing property projects, across residential, commercial and tourist facilities, also, to develop infrastructure that offer luxury lifestyle. Such projects are then offered for sale on a freehold bases, whether they are belonged to the licensee or others, and through a contract between the developer and the land owner. The developer must also register with the Property Developer guarantee Account before commencing the project.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Financials,6599-09,Investment in Sport Enterprises & Management,الإستثمار في المشروعات الرياضية و تطويرها,Service,"Includes holding companies formed in order to invest their funds through establishing subsidiaries to carry out investment in sport infrastructures and projects, it involves exercising operational control and managing the operations of their related units.",Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
Financials,6599-10,Investment in Water Enterprises & Development,الإستثمار في مشروعات المياه وتطويرها,Service,"Includes holding companies formed in order to invest their funds through establishing subsidiaries to carry out investment in water infrastructures and projects, it involves exercising operational control and managing the operations of their related units.",Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
Financials,6599-11,Money Exchangers,بيع وشراء العملات الاجنبية,Service,"Includes financial firms which work for their own account or the account of others in money exchange field, which is based on the purchase and sale of negotiable foreign currencies, monetary notes and coins. Their activities also include the purchase and sale of travelers' cheques, financial transfers and other exchange activities regulated by the laws and statutes of the Central Bank. This activity does not include firms working in financial and monetary brokerage.",Yes,Retail Shop,No Restriction,,"50,000 AED per company",Central Bank,Dubai Police - Department of Protective Systems
Financials,6599-12,Financial Instruments Bidding,المضاربة المالية,Service,"Includes firms whose main activities are based on the investment of their own money or investors' money kept with them in financial bidding and selling of shares and instruments, purchase and sale of currencies, cash notes, and various monetary coins and travelers cheques.",Yes,Any Type,No Restriction,,"50,000 AED per company",Central Bank,
Financials,6599-14,Investment in Health Enterprises & Development,الإستثمار في المشروعات الصحية وتأسيسها وإدارتها,Service,Includes holding companies formed in order to invest their own funds or secure funds to be invested in setting up healthcare projects or other similar enterprises. This also includes managing and organizing the affairs of such companies.,Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
Financials,6599-16,Investment in Educational Enterprises & Management,الاستثمار في المشروعات التعليمية وتأسيسها وإدارتها,Service,"Includes firms and holding companies formed in order to invest their funds through setting up subsidiaries to invest in educational facilities, the projects that aim at enhancing the capabilities of the people with special needs and the children with autism as well as knowledge and human development promoting project, it also involves the management and organizational activities.",Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
Financials,6599-17,Investment in Tourist Enterprises & Management,الاستثمار في المشروعات السياحية و تأسيسها و إدارتها,Service,"Includes firms and holding companies formed in order to invest their funds through setting up subsidiaries to invest in tourist facilities that aim at enhancing Dubai as tourist attraction, it also involves managing and organizing such subsidiaries.",Yes,Any Type,,"- Questionnaire. - Proof of Funds proving that the net worth exceeds 1 million US Dollars for a period of not less than one year (Can be either a bank confirmation letter, or an auditor / lawyer confirmation letter or a bank statement for a year proving that the client maintained an average balance each month that exceeded 1 million US Dollars).","50,000 AED per company",,
,659993,Single Family Office (DMCC),مكتب إدارة شؤون العائلة,Service,"Includes offices founded by family members for the provision of services to the same single family; such services include wealth management, asset management, concierge work, day to day accounting and management of legal affairs, corporate governance issues and all the administrational and office affairs; such firms are not allowed to offer any of the above mentioned services to any third party other than the family’s own members, entities, businesses, trusts or foundations.     ",Yes,Any Type,,- The company can be individually owned or by a corporate entity but not as a branch. - The company cannot apply for any share transfer or change of activity. - No other activities can be added under this license. - Questionnaire. - Undertaking Letter. - Proof of funds. - Proof of relation.,"50,000 AED per company",,
Financials,6599-97,"Trading in FX, OTC and Exchange Traded Derivatives on its own behalf with",counterparties which are regulated by authorities deemed acceptable by DMCC. التداول في العملات وعقود المشتقات المدرجة وغير المدرجة في أسواق مالية، وذلك للحساب الخاص مع أطراف يتم مراقبتها من قبل سلطات مقبولة من سلطة مركز دبي للسلع المتعددة,Service,"Includes firms whose main activities are based on the trading of their own money in forex or OTC and Exchange Traded Derivatives with counterparties which are regulated by authorities deemed acceptable by DMCC as per appendix A"".",No,Any Type,DPTG Members only,Introduction Letter from PROFESSIONAL TRADERS DMCC,"50,000 AED per company",,
Financials,6599-98,Trading for Proprietary account on regulated exchanges (DMCC),التداول للحساب الخاص في بورصات خاضعة لرقابة سلطة مالية,Trading,"Includes firms whose main activities are based on the trading of their own money in FX, OTC and Exchange Traded Derivatives on regulated exchanges.",Yes,Any Type,Non-SCA licensed companies whether DGCX or Proprietary Traders only,Questionnaire,"50,000 AED per company",,
Financials,6599-99,Trading in DGCX contracts (DMCC),التداول في العقود المقيدة لدى بورصة دبي للذهب والسلع,Trading,Includes firms whose main activities are based on trading in DGCX listed contracts for client accounts under broker membership.,Yes,Any Type,DGCX broker member with SCA License only,,"50,000 AED per company",Securities & Commodities Authority,
Financials,6601-01,Life Insurance,التأمين علي الحياة,Service,Includes firms which execute all insurance operations related to human life and covering any danger to life.,No,Physical Office space,No Restriction,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6601-02,Life Reinsurance,اعادة التأمين على الحياة,Service,Includes firms involve in life insurance passing some or all associated with high risk to a reinsurer to avoid bearing the high risk alone.,No,Physical Office space,No Restriction,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6603-01,Accidents & Liabilities Insurance,التأمين من الحوادث والمسئولية,Service,"Includes firms which execute all insurance operations against damages incurred as a result of individual accidents, work accidents, theft and robbery, trust breach, as well as car and vehicle insurance against crash, run-over and fall accidents, insurance against civil liability, engineering insurance, and other insurance modes which are generally established as insurance against accidents and liability.",No,Physical Office space,No Restriction,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6603-02,Fire Insurance,التأمين من الحريق,Service,"Includes firms which execute all insurance operations against damages incurred as a result of fire, explosions, natural disasters and phenomena and disturbances. This also includes other insurance modes which are generally established as insurance against fire.",No,Physical Office space,No Restriction,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6603-03,Transportation Risk Insurance,التأمين من اخطار النقل البري والبحري والجوي,Service,"Includes firms which execute all insurance operations on passengers, goods, other movable, freight remunerations, as well as carriers, such as ships, and road transport means hulls, machinery and accessories. This also includes insurance against dangers that may arise during their construction, manufacture, use, repair or anchoring. This also includes damages incurred by other parties, as well as other insurance modes which are generally established as insurance against dangers of road, air and sea transport.",No,Physical Office space,No Restriction,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6603-04,Credit & Saving Insurance,التأمين على الادخار وتكوين الأموال,Service,"Includes firms which execute insurance operations on the issuance of documents, instruments and certificates... etc. which bind a given company to make a post-dated settlement of a certain amount/ amounts of money by one or more regular installment payment.",No,Physical Office space,No Restriction,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6603-05,Reinsurance,اعادة التأمين,Service,Includes firms which carry out all or specific type/types of insurance (excluding life insurance) by concluding contracts with other insurance companies as follows: The first insurance company bears the responsibility of dangers insured against by the first contract. The second insurance company undertakes to insure the first company against all or part of the dangers insured against by the first company. The company which provides the second insurance undertakes to cover all losses which exceed a certain amount during a specified period.,No,Any Type,Inside JLT and/or Outside UAE,Reinsurance Undertaking,"Min AED 500,000 per company",,
Financials,6603-07,Health Insurance,التأمين الصحي,Service,"Includes firms carrying out health insurance policies, which compensate, loss of income, medication expenses of the insured in case of sickness.",No,Physical Office space,No Restriction,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6603-08,Mechanical Failure Insurance,التأمين ضد الأعطال الميكانيكية,Service,Includes firms that offer mechanical breakdown insurance that covers a wide range of mechanical and electrical parts and labour.,No,Physical Office space,No Restriction,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6711-01,Financial Market,سوق الاوراق المالية,Service,"Includes firms specialized in regulating financial market operations and services, including, controlling and monitoring securities exchange activities, listing bonds and shares in the market, licensing brokers and dealers and supervise their activities, impose regulatory measures on the exchange, conduct inspection on brokers…etc",Yes,Any Type,,,"50,000 AED per company",Securities & Commodities Authority,
Financials,6711-02,Financial Instruments Quotation Services,خدمات عرض اسعار العملات والمعادن الثمينة ونشرها,Service,"Includes firms specialized in displaying full range of data of the financial instruments derived from international exchanges via different media, such as newspapers, radio, TV, internet …etc.",Yes,Any Type,No Restriction,,"50,000 AED per company",Securities & Commodities Authority,
Financials,6712-02,Local Shares & Bonds Brokers,وسيط بيع الأسهم والسندات المحلية وشرائها,Service,"Includes agents or stock market brokers whose activities are based on the negotiation of the purchase and sale of ordinary shares and bonds, loan bonds and other local or foreign financial instruments, regardless of their being locals or agents representing foreign institutions.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Securities & Commodities Authority,
Financials,6712-03,Currencies & Monetary Broker,وسيط بيع العملات وشرائها والتوسط في عمليات السوق النقدية,Service,"Include firms engaged in brokerage of buying and selling of local and foreign shares and stocks, currencies and commodities as well as the intermediary services in the money market. The role of these firms should confine only to negotiate buying and selling prices and completing the deals between concerned parties against a commission and should not do the buying and selling for themselves.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Central Bank,
Financials,6712-04,Foreign Shares & Bonds Broker,وسيط بيع الاسهم والسندات الاجنبية وشرائها,Service,"Includes agents or stock market brokers whose activities are based on mediating in the purchase and sale of foreign ordinary shares and bonds and loan bonds and other financial instruments, the role of such firms is restricted to regardless of negotiating the process up to concluding a deal between the parties, these firm are not allowed to trade for themselves.",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Securities & Commodities Authority,
Financials,6712-05,Bank Brokers,وسيط بين المصارف,Service,Includes firms which buy and sell local and foreign currencies deposited with local and foreign banks and financial institutions. Their activities are limited to brokerage to conclude deals in the favor of third parties.,Yes,Any Type,No Restriction,,"50,000 AED per company",Central Bank,
Financials,6719-03,Banking & Finance Consultant,الاستشارات المصرفية والمالية,Service,"Includes financial and banking expertise offices specialized in preparing banking reports on disputed parties banking facts as might be required by courts of law, involving the summons of the disputed parties to bring in the documents supporting the claim, review accounts and banking facilities, to prepare final report according to the banking expertise point of view, also, individuals and companies can turn to these offices for corroboration of debts and credits.",Yes,Any Type,No Restriction,,"50,000 AED per company",Securities & Commodities Authority,
Real Estate & Facility Services,6719-10,Real Estate Mortgage Broker,وسيط رهن عقاري,Service,"Includes personal and corporate brokers who advice and assist borrowers in obtaining the best borrowing conditions from lenders and commercial banks to acquire or build properties, such service is against commission without exercising direct lending to borrowers.",No,Physical Office space,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Real Estate & Facility Services,6719-12,Real Estate Mortgage Consultancy,إستشارات الرهن العقاري,Service,"Includes firms specialized in offering advisory on how to mortgage property to get loans from financial institutions for financing freehold property, including selection of a financial institutions , how to mortgage and release a property , preparation and submission of documents , the implications of breaking financing and mortgaging in mid term , refinancing and mortgaging fully paid properties , re-mortgaging and transfer to another financer , evaluation of financing rates , such firms are not allowed to seek or carry out any mortgaging for themselves.",No,Any Type,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Financials,6720-01,Insurance Brokers,وسيط تأمين,Service,Includes firms which buy insurance policies for individuals and companies from insurance companies. These firms differ from insurance agents in that they do not represent a certain insurance company while buying the insurance policies for their own clients. They provide their services against remunerations received directly from the beneficiaries of their services.,No,Any Type,Inside JLT only,Insurance Brokers Undertaking,"Min AED 500,000 per company",,
Financials,6720-02,Insurance Agent,وكيل تأمين,Service,"Includes firms which represent one or more insurance company/companies in dealing with the insured parties, policy buyers and insurance brokers. An establishment of that kind works for the account of the insurance company under a special contract. It represents the insurance company on the local level and is authorized to carry out business assigned to it, provided that all its acts and activities are approved by the company. It receives its remunerations from the company and not from the insured parties.",Yes,Any Type,Inside JLT only,,"Min AED 1,000,000 per company",Insurance Authority,
Financials,6720-03,Insurance Mathematics,رياضيات التأمين,Service,"Includes firms specialized in mathematics sciences related to probability principle and compound interest as well as other insurance related mathematical issues. Such firms use mathematical and statistical methods in order to calculate the rates set forth by insurance companies for each of the insurance types. The basic elements for the above-said can be the person's age or the age of the insured thing, as well as the years during which a person is expected to live, and the dangers that may arise.",Yes,Any Type,No Restriction,,"50,000 AED per company",Insurance Authority,
Financials,6720-04,Insurance Consultancies,استشارات التأمين,Service,Include firms which provide insurance consultancy services.,No,Any Type,No Restriction,,"50,000 AED per company",,
Real Estate & Facility Services,7010-01,Buying & Selling of Real Estate,شراءالاراضي والعقارات وبيعها,Service,"Includes firms which work in the purchase of real estate, such as residential and non-residential buildings and commercial lands for selling, such firms are not allowed to practice the activity no. 6599-08 "" Real Estate Development"".",Yes,Physical Office space,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Real Estate & Facility Services,7010-03,Leasing & Management of Other People's Property,خدمات تأجير وإدارة العقارات للغير,Service,"Includes firms engaged in managing commercial, residential, industrial buildings through contracting with the owner in order to re-lease on subcontracting bases also, handling contractual arrangements with the firms in- charge of maintenance, security and as well as issuing tenants contracts, such firms are not allowed to practice Leasing Brokerage",No,Physical Office space,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Real Estate & Facility Services,7010-04,Commercial Complex,مجمع تجاري,Service,"Includes complexes which consist of a large number of units, various real estate and commercial utilities leased to other parties who can use them as shopping centers or offices, where various commercial activities can be carried out. This also includes other utilities such as housing units, car parks, hotels, theaters, conference halls or more as well as commercial exhibition halls and other utilities.",No,Commercial Plot,,,"50,000 AED per company",Real Estate Regulatory Authority,Dubai Police - Department of Protective Systems
Hospitality,7010-06,Hotel Apartments Rental,تأجير الشقق الفندقية,Service,Includes firms which furnish residential apartments with all requisites and means necessary for residential purposes. Such apartments are leased for relatively long periods in return for monthly or annual rent.,No,Physical Office space,No Restriction,,"50,000 AED per company",Department of Tourism & Commerce Marketing,
Real Estate & Facility Services,7010-08,Shopping Center (Mall),مركز تسوق,Service,"Includes centers which consist of a large number of shops, halls, exhibitions, and offices where commercial activities of selling goods and various products or providing recreational and social services such as entertainment centers, restaurants, some housing units and others are conducted.",No,Commercial Plot,,,"50,000 AED per company",Real Estate Regulatory Authority,Dubai Police - Department of Protective Systems
Real Estate & Facility Services,7010-14,Self-owned Property Leasing & Management Services,خدمات تأجير وإدارة العقارات الخاصة,Service,"Includes firms engaged in managing commercial, residential, industrial buildings owned by the owner and his first and second- degree relatives, also, handling contractual arrangements with the firms in-charge of maintenance, security and as well as issuing tenants contracts, such firms are not allowed to practice real estate Brokerage.",No,Physical Office space,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Real Estate & Facility Services,7020-01,Real Estate Buying & Selling Brokerage,الوساطة في بيع العقارات وشرائها,Service,"Includes firms engaged in real estate brokerage or be agents, they mainly involve in buying, selling or appraisal activities.",No,Physical Office space,For a branch of existing RERA licensed companies only,For a branch of existing RERA licensed companies only,"50,000 AED per company",Real Estate Regulatory Authority,
Real Estate & Facility Services,7020-03,Leasing Property Brokerage Agents,الوساطة في تأجير العقارات,Service,"Includes the firms which work as a connection link between landlords and tenants regarding property lease against remuneration, their role will end up when said parties reach an agreement.",No,Physical Office space,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Support Services,7020-04,Real Estate Representative Office,مكتب تمثيل عقاري,Service,"This is an office established in DMCC Free Zone by any international company or enterprise to represent it in UAE in order to market and promote the property that it owns outside UAE, or facilitate commercial deals between the the mother company and it's customers, such office is not allowed practice any activity or enter transactions concerning real estate by itself.",Yes,Any Type,Branch companies only,,No Share Capital,Real Estate Regulatory Authority,
Real Estate & Facility Services,7020-05,Real Estate Valuation Services,خدمات تثمين العقارات,Service,"Includes firms specialized in assessing and estimate the value of fixed assets, such as, lands and buildings, as might be requested by disputant parties or be as an assignment by the court.",No,Any Type,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Real Estate & Facility Services,7020-06,Real Estate Management Supervision Services,خدمات الإشراف الإداري للعقارات,Service,"Includes firms specialized in managing and supervising properties as regarding contracting with the firms in charge of maintenance, cleaning and security services, handling the administrative issues for the property's owner, coordinate with lease brokers to find tenants for vacant units in the building, these firms are not allowed to practice selling, leasing or releasing properties",No,Physical Office space,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Real Estate & Facility Services,7020-08,Management Supervision Services for Owners Associations,خدمات الإشراف الإداري لجمعيات الملاك,Service,"Includes firms specialized in managing and supervising the properties that are jointly owned and run by owners' associations, as regarding contracting with the firms in charge of maintenance, cleaning and security services, handling the administrative issues and the records of the building and the association, submitting periodical reports to the association, these firms are not allowed to practice property selling or purchasing or leasing brokering.",No,Any Type,No Restriction,,"50,000 AED per company",Real Estate Regulatory Authority,
Automotive Transportation,7111-01,Motorcycles Rental,تأجير الدراجات النارية,Service,"Includes firms engage in renting motorbikes, with two wheels or more, fitted with motors, and are intended for paved roads use.",No,Retail Shop,No Restriction,,"50,000 AED per company",Roads and Transport Authority,
Automotive Transportation,7111-05,Car Rental,تأجير السيارات,Service,Includes firms which lease cars without drivers.,No,Retail Shop,No Restriction,,"50,000 AED per company",Roads and Transport Authority,
Automotive Transportation,7111-06,Buses Rental,تأجير الحافلات,Service,"Includes leasing, without drivers, buses and other public transports either by means of personal lease for a short period of time or through long contract arrangements with schools to transfer students or with private and public firms to transport employees.",No,Retail Shop,No Restriction,,"50,000 AED per company",Roads and Transport Authority,
